worker_id,cluster,predicted_risk,confidence,priority,skill_focus,suitable_tasks,supervision,training_priority,career_path
W00112,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00113,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00114,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00115,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00116,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00117,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00118,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00119,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00120,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00121,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00122,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00123,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00124,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00125,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00126,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00127,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00128,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00129,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00130,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00131,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00132,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00133,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00134,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00135,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00136,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00137,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00138,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00139,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00140,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00141,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00142,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00143,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00144,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00145,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00146,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00147,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00148,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00149,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00150,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00151,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00152,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00153,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00154,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00155,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00156,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00157,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00158,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00159,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00160,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00161,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00162,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00163,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00164,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00165,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00166,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00167,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00168,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00169,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00170,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00171,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00172,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00173,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00174,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00175,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00176,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00177,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00178,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00179,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00180,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00181,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00182,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00183,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00184,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00185,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00186,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00187,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00188,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00189,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00190,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00191,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00192,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00193,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00194,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00195,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00196,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00197,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00198,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00199,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00200,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00201,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00202,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00203,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00204,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00205,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00206,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00207,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00208,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00209,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00210,1,High,0.65,CRITICAL - INTERVENTION REQUIRED,"Critical skill gap closure, Immediate remediation, Intensive training","Minimal work - Training focus, Very simple, supervised tasks",Constant - 1-on-1 with experienced worker,"Immediate intensive training, Safety protocols (CRITICAL), Risk management, Incident prevention","Pause all activities, Intensive development only, Transition planning if needed"
W00211,0,High,0.8,HIGH ATTENTION,"Critical skill remediation, Certifications renewal","Lower-risk tasks initially, Building back to complex tasks",Regular - Weekly check-ins and reviews,"Immediate skill development, Safety protocols review, Risk management training","Pause advancement, Focus on skill recovery, Mentoring support"
W00212,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00213,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00214,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00215,1,Medium,0.7,URGENT DEVELOPMENT,"Urgent skill development, Competency gap closure, Certification pursuit","Simplified tasks, Skill-matched assignments only, Training roles",Close - Multiple check-ins,"Comprehensive skill training (HIGH), Safety protocols, Risk awareness training","Skill development focus, Pause advancement, Mentoring support needed"
W00216,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00217,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00218,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00219,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00220,1,Low,0.75,DEVELOP,"Foundation skill strengthening, Core competency development","Simple, well-defined tasks, Structured projects, Training assignments",Moderate - Regular check-ins,"Skill certification, Core competency training, Safety fundamentals","Structured progression path, Skill milestones, Potential advancement"
W00221,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
W00222,0,Low,0.95,MAINTAIN,"Advanced certifications, Specialized technical skills","Complex technical tasks, High-skill-requirement projects, Leadership roles",Minimal - Worker is highly capable,"Specialization courses, Emerging technologies, Leadership development","Senior roles, Technical leadership, Mentoring positions"
W00223,0,Medium,0.85,MONITOR,"Task-specific skills, Skill gap analysis","Standard technical tasks, Moderate complexity projects",Light - Spot checks and periodic reviews,"Skill gap training, Refresher courses, New technology adoption","Continued advancement, Specialized roles, Senior positions"
